日付	レース名	格	場	距離	条件	重量
01/04(日)	中山金杯	G3	中山	芝2000m	4歳上	ハンデ
01/04(日)	京都金杯	G3	京都	芝1600m	4歳上	ハンデ
01/11(日)	フェアリーステークス	G3	中山	芝1600m	3歳牝	馬齢
01/12(月)	シンザン記念	G3	京都	芝1600m	3歳	馬齢
01/18(日)	京成杯	G3	中山	芝2000m	3歳	馬齢
01/18(日)	日経新春杯	G2	京都	芝2400m	4歳上	ハンデ
01/24(土)	小倉牝馬ステークス	G3	小倉	芝2000m	4歳上牝	ハンデ
01/25(日)	アメリカジョッキークラブカップ	G2	中山	芝2200m	4歳上	別定
01/25(日)	プロキオンステークス	G2	京都	ダ1800m	4歳上	別定
02/01(日)	根岸ステークス	G3	東京	ダ1400m	4歳上	別定
02/01(日)	シルクロードステークス	G3	京都	芝1200m	4歳上	ハンデ
02/10(火)	東京新聞杯	G3	東京	芝1600m	4歳上	別定
02/10(火)	きさらぎ賞	G3	京都	芝1800m	3歳	馬齢
02/14(土)	クイーンカップ	G3	東京	芝1600m	3歳牝	馬齢
02/14(土)	小倉ジャンプステークス	JG3	小倉	障3390m	4歳上	別定
02/15(日)	共同通信杯	G3	東京	芝1800m	3歳	馬齢
02/15(日)	京都記念	G2	京都	芝2200m	4歳上	別定
02/21(土)	ダイヤモンドステークス	G3	東京	芝3400m	4歳上	ハンデ
02/21(土)	阪急杯	G3	阪神	芝1400m	4歳上	別定
02/22(日)	フェブラリーステークス	G1	東京	ダ1600m	4歳上	定量
02/22(日)	小倉大賞典	G3	小倉	芝1800m	4歳上	ハンデ
02/28(土)	オーシャンステークス	G3	中山	芝1200m	4歳上	別定
03/01(日)	中山記念	G2	中山	芝1800m	4歳上	別定
03/01(日)	チューリップ賞	G2	阪神	芝1600m	3歳牝	馬齢
03/07(土)	中山牝馬ステークス	G3	中山	芝1800m	4歳上牝	ハンデ
03/07(土)	フィリーズレビュー	G2	阪神	芝1400m	3歳牝	馬齢
03/08(日)	弥生賞ディープインパクト記念	G2	中山	芝2000m	3歳	馬齢
03/14(土)	阪神スプリングジャンプ	JG2	阪神	障3900m	4歳上	別定
03/15(日)	スプリングステークス	G2	中山	芝1800m	3歳牡・牝	馬齢
03/15(日)	金鯱賞	G2	中京	芝2000m	4歳上	別定
03/21(土)	フラワーカップ	G3	中山	芝1800m	3歳牝	馬齢
03/21(土)	ファルコンステークス	G3	中京	芝1400m	3歳	馬齢
03/22(日)	阪神大賞典	G2	阪神	芝3000m	4歳上	別定
03/22(日)	愛知杯	G3	中京	芝1400m	4歳上牝	別定
03/28(土)	日経賞	G2	中山	芝2500m	4歳上	別定
03/28(土)	毎日杯	G3	阪神	芝1800m	3歳	馬齢
03/29(日)	マーチステークス	G3	中山	ダ1800m	4歳上	ハンデ
03/29(日)	高松宮記念	G1	中京	芝1200m	4歳上	定量
