軸数,条件,値,レース数,的中数,的中率,投資額,払戻額,回収率,収支
3,勝率差帯 × オッズ帯 × 距離帯,差<3% / 10〜30倍 / 中距離,40,5,12.5,4000,7180,179.5,3180
3,人気帯 × 頭数帯 × 芝ダ,4〜6番人気 / 〜10頭 / 芝,42,9,21.4,4200,7440,177.1,3240
3,人気帯 × オッズ帯 × パターン,7番人気〜 / 10〜30倍 / 波乱型,38,4,10.5,3800,6720,176.8,2920
2,オッズ帯 × 距離帯,10〜30倍 / 中距離,55,7,12.7,5500,9530,173.3,4030
3,人気帯 × 頭数帯 × パターン,7番人気〜 / 15頭〜 / 波乱型,32,3,9.4,3200,5420,169.4,2220
3,オッズ帯 × 距離帯 × パターン,10〜30倍 / 中距離 / 波乱型,49,6,12.2,4900,8250,168.4,3350
3,人気帯 × 勝率差帯 × 芝ダ,4〜6番人気 / 差3〜5% / 芝,40,7,17.5,4000,6500,162.5,2500
3,人気帯 × 勝率差帯 × 芝ダ,4〜6番人気 / 差5〜10% / 芝,32,6,18.8,3200,5110,159.7,1910
3,人気帯 × オッズ帯 × 距離帯,1番人気 / 3〜10倍 / 長距離,32,15,46.9,3200,5110,159.7,1910
3,人気帯 × 勝率差帯 × オッズ帯,7番人気〜 / 差<3% / 10〜30倍,31,3,9.7,3100,4840,156.1,1740
2,人気帯 × 勝率差帯,4〜6番人気 / 差3〜5%,71,13,18.3,7100,10800,152.1,3700
3,人気帯 × 勝率差帯 × 距離帯,4〜6番人気 / 差3〜5% / 中距離,30,6,20.0,3000,4470,149.0,1470
2,人気帯 × オッズ帯,7番人気〜 / 10〜30倍,47,4,8.5,4700,6720,143.0,2020
3,人気帯 × 頭数帯 × 距離帯,1番人気 / 15頭〜 / 長距離,33,17,51.5,3300,4640,140.6,1340
3,頭数帯 × オッズ帯 × 距離帯,15頭〜 / 10〜30倍 / 中距離,33,3,9.1,3300,4600,139.4,1300
2,人気帯 × 頭数帯,7番人気〜 / 15頭〜,39,3,7.7,3900,5420,139.0,1520
3,人気帯 × 勝率差帯 × 芝ダ,4〜6番人気 / 差3〜5% / ダート,31,6,19.4,3100,4300,138.7,1200
3,人気帯 × 勝率差帯 × オッズ帯,4〜6番人気 / 差3〜5% / 3〜10倍,57,10,17.5,5700,7450,130.7,1750
3,頭数帯 × 距離帯 × パターン,15頭〜 / 長距離 / 混戦型,31,11,35.5,3100,4040,130.3,940
3,頭数帯 × オッズ帯 × パターン,〜10頭 / 3〜10倍 / 波乱型,30,8,26.7,3000,3910,130.3,910
3,勝率差帯 × オッズ帯 × 距離帯,差5〜10% / 3〜10倍 / 長距離,31,8,25.8,3100,4000,129.0,900
3,頭数帯 × オッズ帯 × パターン,11〜14頭 / 10〜30倍 / 波乱型,38,4,10.5,3800,4860,127.9,1060
3,人気帯 × オッズ帯 × パターン,4〜6番人気 / 3〜10倍 / 波乱型,45,7,15.6,4500,5730,127.3,1230
3,勝率差帯 × 頭数帯 × オッズ帯,差5〜10% / 11〜14頭 / 3〜10倍,149,43,28.9,14900,18780,126.0,3880
3,人気帯 × 芝ダ × 距離帯,4〜6番人気 / 芝 / 中距離,63,10,15.9,6300,7890,125.2,1590
3,勝率差帯 × 頭数帯 × 距離帯,差5〜10% / 11〜14頭 / マイル,47,17,36.2,4700,5790,123.2,1090
3,人気帯 × 距離帯 × パターン,2〜3番人気 / 中距離 / 波乱型,111,29,26.1,11100,13660,123.1,2560
3,頭数帯 × 芝ダ × パターン,〜10頭 / 芝 / 波乱型,59,20,33.9,5900,7140,121.0,1240
2,人気帯 × 頭数帯,4〜6番人気 / 〜10頭,62,9,14.5,6200,7440,120.0,1240
3,勝率差帯 × 頭数帯 × 距離帯,差3〜5% / 11〜14頭 / 長距離,35,12,34.3,3500,4180,119.4,680
3,人気帯 × 勝率差帯 × 頭数帯,4〜6番人気 / 差3〜5% / 15頭〜,39,6,15.4,3900,4640,119.0,740
