race_id,race_date,出走頭数,芝ダート,距離,Top1馬番,Top1馬名,Top1人気,Top1単勝,Top1勝率,Top2勝率,gap_1_2,has_high_odds,パターン,Top1着順,的中,払戻額,人気帯,勝率差帯,頭数帯,芝ダ,オッズ帯,距離帯
202403030305,2024-11-09,16,0,2000,9,アンファング,9,14.2,10.66,9.88,0.78,True,波乱型,13,0,0.0,7番人気〜,差<3%,15頭〜,芝,10〜30倍,中距離
202405050402,2024-11-10,9,0,1800,8,ニヴルヘイム,2,2.5,28.25,27.27,0.98,False,混戦型,3,0,0.0,2〜3番人気,差<3%,〜10頭,芝,〜3倍,中距離
202403030408,2024-11-10,16,0,1800,7,ルトゥール,3,4.3,18.12,13.15,4.97,True,波乱型,11,0,0.0,2〜3番人気,差3〜5%,15頭〜,芝,3〜10倍,中距離
202403030407,2024-11-10,16,0,1200,14,モリノレッドスター,1,2.8,18.05,12.2,5.85,False,混戦型,4,0,0.0,1番人気,差5〜10%,15頭〜,芝,〜3倍,短距離
202403030409,2024-11-10,16,0,1200,2,レイピア,1,3.6,13.55,12.71,0.84,False,混戦型,3,0,0.0,1番人気,差<3%,15頭〜,芝,3〜10倍,短距離
202403030406,2024-11-10,15,1,1700,2,ツァガーンサル,4,8.5,13.93,11.7,2.22,False,混戦型,4,0,0.0,4〜6番人気,差<3%,15頭〜,ダート,3〜10倍,中距離
202403030411,2024-11-10,16,0,2000,3,ドクタードリトル,1,3.7,14.5,13.21,1.28,False,混戦型,7,0,0.0,1番人気,差<3%,15頭〜,芝,3〜10倍,中距離
202403030410,2024-11-10,15,1,1700,1,アセレラシオン,3,7.0,11.68,10.75,0.93,False,混戦型,3,0,0.0,2〜3番人気,差<3%,15頭〜,ダート,3〜10倍,中距離
202403030412,2024-11-10,16,1,1150,8,シークレットヴァウ,1,1.8,18.25,13.94,4.32,False,混戦型,1,1,180.0,1番人気,差3〜5%,15頭〜,ダート,〜3倍,短距離
202403030401,2024-11-10,15,1,1700,10,パルクリチュード,1,3.8,13.87,11.88,1.99,False,混戦型,4,0,0.0,1番人気,差<3%,15頭〜,ダート,3〜10倍,中距離
202403030402,2024-11-10,16,0,2000,5,ナヴァラトゥナ,1,1.7,24.28,14.21,10.07,True,本命型,5,0,0.0,1番人気,差10%〜,15頭〜,芝,〜3倍,中距離
202405050404,2024-11-10,15,1,1300,15,グレイスフルマーチ,4,7.2,19.74,11.22,8.52,True,混戦型,5,0,0.0,4〜6番人気,差5〜10%,15頭〜,ダート,3〜10倍,短距離
202403030404,2024-11-10,9,0,2750,1,サハラ,1,2.5,33.11,20.58,12.53,False,本命型,2,0,0.0,1番人気,差10%〜,〜10頭,芝,〜3倍,長距離
202403030405,2024-11-10,5,0,2750,5,エンジェルラウンド,2,3.9,42.9,30.83,12.08,False,本命型,2,0,0.0,2〜3番人気,差10%〜,〜10頭,芝,3〜10倍,長距離
202403030403,2024-11-10,14,1,1700,10,メイショウソムリエ,2,2.9,23.96,19.1,4.85,False,混戦型,3,0,0.0,2〜3番人気,差3〜5%,11〜14頭,ダート,〜3倍,中距離
202405050412,2024-11-10,16,0,1800,11,ボーモンド,2,5.2,15.39,14.94,0.45,False,混戦型,7,0,0.0,2〜3番人気,差<3%,15頭〜,芝,3〜10倍,中距離
202408060401,2024-11-10,16,1,1400,11,ベルエアキング,1,2.3,29.31,14.76,14.54,False,本命型,6,0,0.0,1番人気,差10%〜,15頭〜,ダート,〜3倍,短距離
